Order,Compress,CandidatesA,CandidatesB,Pairs,Candidates,UncompressedPairs,Uncompression,Total
16,1,14,41,21,0s,0,0s,0s
26,1,289,1722,102,10s,0,0s,10s
16,1,14,41,21,0s,0,0s,0s
26,1,289,1722,102,11s,0,0s,11s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
26,1,289,1722,102,10s,0,0s,10s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
26,1,289,1722,102,11s,0,0s,11s
16,1,14,41,21,0s,0,0s,0s
2,1,2,1,2,0s,0,0s,0s
4,1,4,4,16,0s,0,0s,0s
8,1,48,28,384,0s,0,0s,0s
10,1,40,40,800,0s,0,0s,0s
16,1,1216,1216,57344,0s,0,0s,0s
16,1,1216,1216,57344,0s,0,0s,1s
16,1,1216,1216,57344,0s,0,0s,0s
16,1,1216,1216,57344,0s,0,0s,0s
16,1,1216,1216,57344,0s,0,0s,1s
16,1,1216,1216,57344,0s,0,0s,0s
16,1,1216,1216,57344,0s,0,0s,1s
16,1,1216,1216,57344,0s,0,0s,1s
26,1,289,1722,102,10s,0,0s,10s
16,1,14,41,21,1s,0,0s,1s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
32,2,1234,3523,2330,7s,37312,3s,10s
32,2,1234,3523,2330,6s,37312,3s,9s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
32,2,1234,3523,2330,7s,37312,3s,10s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,1s,0,0s,1s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
32,2,1234,3523,2330,8s,37312,3s,11s
32,2,1234,3523,2330,7s,37312,4s,11s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,1s,0,0s,1s
16,1,14,41,21,0s,0,0s,0s
18,2,12,42,0,0s,0,0s,0s
50,2,1337323,15925323,211346,92008s,21644,2262s,94345s
16,1,14,41,21,0s,0,0s,0s
34,1,9735,77880,732,1618s,0,0s,1618s
32,1,7588,53408,2752,687s,0,0s,687s
26,1,289,1722,102,12s,0,0s,12s
32,4,85,120,142,0s,639488,8s,8s
40,2,31510,112499,30203,354s,135992,96s,450s
34,2,2053,20500,797,45s,2964,1s,46s
32,2,1234,3523,2330,7s,37312,4s,11s
26,2,95,905,62,1s,408,0s,1s
16,2,12,15,19,0s,256,0s,0s
